repo,infection_type,variant,status,branches,infected_files,file_count,first_commit_date,first_detected,last_scan,cleaned_date,cleaned_by,reinfected_count,skip_reason,notes,woff2_fake,fake_readme,gitignore_inject,js_config,npm_malicious,bat_script,node_mod,c2,ide_rce
branch8/project-hotai-wrapper,config,V1,CLEANED,feature/update-axios,babel.config.js,1,,2026-05-12,2026-05-22,2026-05-20,claude/remediate-hotai.sh,0,,2026-05-20: babel.config.js stripped; .gitignore temp_auto_push.bat + temp_interactive_push.bat cleaned,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/spec-project-magento2-hotai,woff2,V1,CLEANED,main,public/fonts/fa-solid-400.woff2,1,2026-03-11,2026-05-12,2026-05-22,2026-05-20,claude/remediate-hotai.sh,0,,2026-05-20: public/fonts/fa-solid-400.woff2 + public/fonts/README.md deleted,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/b8-home,config,unknown,INFECTED,main | staging,tailwind.config.mjs (FP: src/payload.config.ts),1,2026-03-19,2026-05-12,2026-05-22,2026-05-20,claude/remediate-non-hotai.sh,2,,2026-04-30: surgically reverted via commit 44ca956; infection 6650a23 remains in git history | RE-INFECTED 2026-05-19 | 2026-05-20: tailwind.config.mjs stripped; payload.config.ts confirmed FP (legitimate deploy webhook) | RE-INFECTED 2026-05-22,-,-,CLEANED,FOUND,-,-,-,-,-
branch8/b8st-automation,config,unknown,FALSE_POSITIVE,main | seo/b8-locale-cleanup,claudedocs/INCIDENT_VM_INVESTIGATION_2026-04-29.md | claudedocs/team-notification-2026-04-30.md,2,2026-04-29,2026-05-12,2026-05-22,,,0,claudedocs/ IR文件引用marker字串做說明，非真實payload注入,,-,-,FOUND,-,-,-,-,FOUND,-
branch8/cv-generator,config,V1,CLEANED,main,postcss.config.mjs,1,2025-03-26,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/eatizen-ringus,config,V1,CLEANED,branch8/local-development,babel.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/fe-project-me-shopify-merch,config,V1,CLEANED,main,next.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/hktb-demo,config,V1,CLEANED,main,postcss.config.js,1,2026-04-15,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-cms,config,V1,CLEANED,master,next.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-cms_strapi,config,V1,CLEANED,master,src-react/babel.config.js,1,2020-05-11,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-promo-pos,config,V1,CLEANED,main,next.config.js,1,2022-10-22,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/kef-social-login,config,V1,CLEANED,master,web-ui/jest.config.js,1,2025-04-07,2026-05-12,2026-05-22,2026-05-20,claude/remediate-non-hotai.sh,2,,"payload stripped (attacker-created file | 2026-05-20 RE-INFECTED; cleaned by remediate-non-hotai.sh, no pre-infection version) | RE-INFECTED 2026-05-16",CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/link-ext-app-linknamecard-link-linknamecard,config,V1,CLEANED,docker_test,tailwind.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/magic-eden-list,config,V1,CLEANED,main,src/css/tailwind.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/me-creator,config,V1,CLEANED,main,packages/frontend/next.config.js,1,2023-03-01,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/moca-box,config,V1,CLEANED,main,tailwind.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/mocaverse-api,config,V1,CLEANED,main,jest.config.js,1,2023-03-07,2026-05-12,2026-05-15,2026-05-15,claude/cleanup-config.sh,0,,,-,-,-,CLEANED,-,-,-,-,-
branch8/project-4sIOT-GCE,config,V1,CLEANED,feature/noindex-gceiot | main,frontend/postcss.config.mjs,1,2026-03-02,2026-05-12,2026-05-22,2026-05-20,claude/remediate-non-hotai.sh,2,,RE-INFECTED 2026-05-16 | 2026-05-20 RE-INFECTED; cleaned by remediate-non-hotai.sh,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-choco-up-backend,config,V1,CLEANED,dev-branch8,babel.config.js,1,2023-05-30,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-choco-up-frontend,config,V1,CLEANED,main-branch8,apps/dashboard-root/tailwind.config.js | libs/ui/tailwind.config.js,2,2023-06-14,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-internalProduct-promotionApp,config,V1,CLEANED,remaster,babel.config.js,1,2022-12-04,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-lms,config,V1,CLEANED,main,frontend/jest.config.js,1,2024-07-22,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento-maxims-sdk-example,config,V1,CLEANED,main,babel.config.js,1,2024-01-31,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magento-mobile-maxims-ringus-eatizen,config,V1,CLEANED,release/13.6.10,babel.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
branch8/project-magiceden-blog-frontend,config,V1,CLEANED,dev,next.config.js,1,,2026-05-12,2026-05-22,2026-05-15,claude/cleanup-config.sh,0,,,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,-,CLEAN,CLEAN
